Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State      
tcp        0      0 0.0.0.0:ssh             0.0.0.0:*               LISTEN     
tcp        0      0 localhost:mysql         0.0.0.0:*               LISTEN     
tcp        0      0 0.0.0.0:webmin          0.0.0.0:*               LISTEN     
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.239.231:60897     ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.224.199:58665     ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.176.175:6733      ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.224.199:58165     ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.145.33:53138      ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.176.175:7032      ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.224.180:49357     ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.129.69:59833      ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.170.116:63087     ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.145.33:54354      ESTABLISHED
tcp        0     64 cst8254.ottawa.ad.a:ssh 10.70.163.20:59961      ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.173.5:54701       ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.129.81:60209      ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.133.2:59171       ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.145.13:56914      ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.242.145:49195     ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.145.33:54089      ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.129.69:58614      ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh jian0084.ottawa.a:50856 ESTABLISHED
tcp        0      0 cst8254.ottawa.ad:46414 cst8254.ottawa.ad.a:ftp ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.178.161:54355     ESTABLISHED
tcp        0      0 cst8254.ottawa.ad.a:ssh 10.70.146.252:63806     ESTABLISHED
tcp6       0      0 [::]:ftp                [::]:*                  LISTEN     
tcp6       0      0 [::]:ssh                [::]:*                  LISTEN     
tcp6       0      0 localhost:3350          [::]:*                  LISTEN     
tcp6       0      0 [::]:https              [::]:*                  LISTEN     
tcp6       0      0 [::]:3389               [::]:*                  LISTEN     
tcp6       0      0 [::]:http               [::]:*                  LISTEN     
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54847     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54826     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54823     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54832     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54837     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54839     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54824     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa.ad.a:ftp 10.70.178.161:54108     ESTABLISHED
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54842     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54834     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54846     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa.ad.a:ftp cst8254.ottawa.ad:46414 ESTABLISHED
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54828     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54844     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54829     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54833     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54825     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54836     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54838     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54830     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54827     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54843     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54845     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54841     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54840     FIN_WAIT2  
tcp6       0      0 cst8254.ottawa.ad.a:ftp hall0464.ottawa.a:50814 ESTABLISHED
tcp6       0      0 cst8254.ottawa:ftp-data 10.70.178.161:54835     FIN_WAIT2  
